"iMac18,3","27"" iMac (Mid 2017)"
"iMacPro1,1",iMac Pro (Late 2017)
"iPad11,1",iPad mini 5th Gen (Wi-Fi Only)
"iPad11,6","iPad 10.2"" 8th Gen (Wi-Fi Only)"
"iPad5,1",iPad mini 4 (Wi-Fi Only)
"iPad7,11","iPad 10.2"" 7th Gen (Wi-Fi Only)"
"iPad8,3","iPad Pro 11"" (Wi-Fi/Cellular)"
"iPad8,5","iPad Pro 12.9"" (Wi-Fi Only - 3rd Gen)"
"iPhone10,4",iPhone 8
"iPhone9,1",iPhone 7
"iPhone9,2",iPhone 7 Plus
"iPhone7,2",iPhone 6
"iPod7,1","iPod touch 6th Gen, 2015"
"iPod9,1","iPod touch 7th Gen, 2019"
"MacBookAir7,2","13"" MacBook Air (Early 2015)"
"MacBookPro11,4","15"" MacBook Pro with Retina display (Mid 2015)"
"MacBookPro12,1","13"" MacBook Pro with Retina display (Early 2015)"
"MacBookPro13,2","13"" MacBook Pro with Thunderbolt 3 and Touch ID (Late 2016)"
"MacBookPro13,3","15"" MacBook Pro with Thunderbolt 3 and Touch ID (Late 2016)"
"MacBookPro14,1","13"" MacBook Pro with Thunderbolt 3 (Mid 2017)"
"MacBookPro14,2","13"" MacBook Pro with Thunderbolt 3 and Touch ID (Mid 2017)"
"MacBookPro14,3","15"" MacBook Pro with Thunderbolt 3 and Touch ID (Mid 2017)"
"MacBookPro15,1","15"" MacBook Pro with Thunderbolt 3 and Touch ID (Mid 2018)"
"MacBookPro15,2","13"" MacBook Pro with Thunderbolt 3 and Touch ID (Mid 2018)"
"MacBookPro16,1",MacBook Pro 16-Inch 2019
"MacBookPro16,3",MacBook Pro 13-Inch 2020
"MacBookPro17,1","MacBook Pro 13-Inch ""M1"" (2020)"
"MacBookPro9,1","MacBook Pro Intel Core i7, 15"" (Mid 2012)"
"Macmini7,1",Mac mini (Late 2014)
"Macmini8,1",Mac mini (Late 2018)
"AppleTV6,2","TV 4K (2017, A10)"
"AppleTV5,3","TV HD (4th Generation, Siri)"
"MacBookPro16,2","MacBook Pro 13-Inch (2020)" 
